product_url,cas_number
cycloleucyl-prolyl-mixture-of-diastereomers,5654-86-4
nicotine-ep-impurity-e-d3-nicotine-1-oxide-d3-mixture-of-diastereomers,491-26-9
rac-nicotine-ep-impurity-e-rac-nicotine-1-oxide-mixture-of-diastereomers,63551-14-4
nicotine-ep-impurity-e-nicotine-usp-related-compound-e-free-form-mixture-of-diastereomers,491-26-9
nicotine-impurity-5-hcl,3612-80-4
nicotine,54-11-5
nicotine-usp-related-compound-a-rac-nicotine-ep-impurity-a,2743-90-0
nicotine-ep-impurity-d-nicotine-usp-related-compound-d-myosmine,532-12-7
n-methyl-2-pyridone-5-carboxylic-acid,3719-45-7
nedifloramide-n-methyl-2-pyridone-5-carboxamide,701-44-0
n-nitrosonornicotine-d4,66148-19-4
rac-nicotine-d7-dihcl,1219805-86-3
nicotine-d3,69980-24-1
nicotine-related-compound-1-hcl,501-81-5
n-methyl-4-pyridone-3-carboxamide,769-49-3
nicotine-usp-related-compound-f-rac-nicotine-ep-impurity-f,5746-86-1
nedifloramide-d3-n-methyl-2-pyridone-5-carboxamide-d3,1207384-48-2
rac-nicotine-d4,350818-69-8
nicotinic-acid,59-67-6
nicotine-ep-impurity-b-nicotyrine,487-19-4
nicotinic-acid-d4,66148-15-0
nicotinic-acid-benzyl-ester-benzyl-nicotinate,94-44-0
ethyl-nicotinate-hcl,65550-28-9
nicotine-usp-related-compound-a-d4-hcl-rac-nicotine-ep-impurity-a-d4-hcl,1020719-11-2
cycloleucyl-prolyl-d10-mixture-of-diastereomers,5654-86-4
nicotine-n-glucuronide,153536-53-9
nicotinuric-acid,4Z-N-0618
23-pyridinedicarboxylic-acid-d3,138946-42-6
1s2s-nicotine-1-oxide-d3,51095-86-4
nicotine-impurity-1,887355-56-8
nicotine-usp-related-compound-a-dihcl-rac-nicotine-ep-impurity-a-dihcl,2743-90-0
r-nicotine,25162-00-9
3-1-methyl-1h-pyrrol-2-ylpyridine-nicotyrine,487-19-4
3-2rs-pyrrolidin-2-ylpyridine-rs-nornicotine,5746-86-1
3-45-dihydro-3h-pyrrol-2-ylpyridine-myosmine,532-12-7
rs-1-methyl-3-nicotinoylpyrrolidine-rs-mnp,125630-26-4
1rs2s-1-methyl-2-pyridin-3-ylpyrrolidine-1-oxide-nicotine-n-oxide,491-26-9
nicotine-for-single-use,54-11-5
3-2s-piperidin-2-ylpyridine-anabasine,494-52-0
3-1h-pyrrol-2-ylpyridine-nornicotyrine,494-98-4
n-nitrosonornicotine,16543-55-8
2rs-1236-tetrahydro-23-bipyridyl-rs-anatabine,2743-90-0
3-1s2s-1-methyl-1-oxidopyrrolidin-2-ylpyridine,51095-86-4
1rs2s-nicotine-nn-dioxide-3-1rs2s-1-methyl-1-oxidopyrrolidin-2-ylpyridine-1-oxide,2055-29-0
5rs-5-pyridin-3-ylpyrrolidin-2-one-rs-norcotinine,17708-87-1
3-2rs-piperidin-2-ylpyridine-rs-anabasine,13078-04-1
pseudooxynicotine-dihydrochloride-4-methylamino-1-3-pyridylbutan-1-one-dihydrochloride,66093-90-1
5s-1-methyl-5-pyridin-3-ylpyrrolidin-2-one-cotinine,486-56-6
nicotine-malate,73057-36-0
nicotine-impurity-7,1824020-12-3
s-nornicotine,494-97-3
nicotine-impurity-6,1060802-34-7
trigoneline-hcl,535-83-1
3-mercaptopicolinic-acid-hcl,320386-54-7
2s-n-nornicotine-d4,92761-98-3
nicotine-related-compound-7,15268-31-2
4-chloro-6-nitro-picolinic-acid,1393569-52-2
nicotine-salicylate,29790-52-1
2-nn-dimethylamine-3-cyanopyridine,60138-76-3
cyclol-leucyl-l-prolyl,2873-36-1
nicotine-n-glucuronide-d4,4Z-N-0649
nicotinic-acid-adenine-dinucleotide-sodium,104809-30-5
quinolinic-acid-15n-23-pyridinedicarboxylic-acid-15n,339155-13-4
nicotine-impurity-3,525-74-6
cyclol-leucyl-l-prolyl-d7,2873-36-1
nicotine-related-compound-5,29681-45-6
cyclohexylmethyl-heptyl-sulfite,4Z-N-0656
cyclol-phenylalanyl-l-prolyl,3705-26-8
nicotine-related-compound-8,39642-60-9
nicotine-related-compound-4,3222-49-9
trigoneline-d3,535-83-1
n-nitrosonornicotine-d4-1-n-oxide,75195-76-5
n-methylnicotinium-iodide,21446-46-8
nicotine-ditartrate,6019-06-3
methyl-picolinate-dimer-1,942922-74-9
nornicotine-d4,66148-18-3
s-nicotine-citrate,4Z-N-06111
cyclol-prolyl-l-valyl,2854-40-2
nicotine-benzoate,88660-53-1
nicotine-related-compound-10,870975-59-0
nicotinic-acid-acyl-d-glucuronide,4Z-N-0617
o-nicotine,23950-04-1
n-nitrosonornicotine-1-n-oxide,75195-76-5
2-picolinic-acid,98-98-6
cyclol-phenylalanyl-l-prolyl-d5,3705-26-8
nicotine-related-compound-3,102074-19-1
nicotine-related-compound-6,1657-32-5
nicotine-related-compound-11,4Z-N-06100
2s-n-nitrosonornicotine-d4,1426174-36-8
cyclol-prolyl-l-valyl-d8,2854-40-2
trigoneline,535-83-1
nicotine-di-n-oxide-mixture-of-diastereomers,129547-84-8
nicotine-impurity-2,1824020-12-3
nicotine-related-compound-2,591-22-0
nicotine-related-compound-9,347841-88-7
1r2s-nicotine-1-oxide-d3,51020-67-8
isonicotine-d3,1346601-08-8
cyclol-prolyl-l-leucyl,2873-36-1
s-anabasine-98-ee,494-52-0
s-n-nitroso-anatabine,71267-22-6
nudifloramide-d3,1207384-48-2
rs-norcotinine-pyridyl-d4,1020719-70-3
nicotelline-d9-major,1469367-99-4
rs-nornicotine,5746-86-1
myosmine,532-12-7
rac-cotinine-d3-n-d-glucuronide,TR-C725179
rac-nicotine-d4,350818-69-8
rs-anatabine-2456-d4,1020719-11-2
n-methylnicotinamide,114-33-0
14-dihydro-1-methyl-4-oxo-3-pyridinecarboxamide-d3,1207384-47-1
nicotelline,494-04-2
trans-3-hydroxy-cotinine,34834-67-8
rac-cotinine,15569-85-4
s-n-nitroso-anatabine-10-mgml-in-acetonitrile,71267-22-6
myosmine-2456-d4,66148-17-2
cotinine-n-d-glucuronide,139427-57-9
1s2s-nicotine-1-oxide,51095-86-4
rac-n-nitrosonornicotine-d4,66148-19-4
s-1-methylnicotinium-iodide,21446-46-8
s-cotinine,486-56-6
cotinine-n-d-glucuronide,TR-C725170
nicotinamide-adenine-dinucleotide,53-84-9
rs-norcotinine,17708-87-1
r-anabasine-98-ee,34366-21-7
n-ethylnicotinamide,4314-66-3
rac-n-nitrosonornicotine-d4-01-mgml-in-methanol,66148-19-4
nornicotyrine,494-98-4
4-methylamino-1-3-pyridyl-d4-1-butanone-dihydrochloride,764661-23-6
trans-3-hydroxy-cotinine-d3-n-d-glucuronide,146275-18-5
trans-3-hydroxy-cotinine-d3-racemic-mixtures,159956-78-2
trigonelline-chloride,6138-41-6
nicotyrine,487-19-4
rac-nicotine-d3,69980-24-1
rac-n-nitrosonornicotine-d4-10-mgml-in-acetonitrile,66148-19-4
rac-nicotine-13cd3,909014-86-4
rac-cotinine-d3,110952-70-0
rs-anabasine-2456-d4,1020719-08-7
nicotine-n-4-deoxy-45-didehydro-d-glucuronide,1040920-61-3
rs-n-nitroso-anabasine-d4,1020719-68-9
14-dihydro-1-methyl-4-oxo-3-pyridinecarboxamide,769-49-3
rs-1-methyl-3-nicotinoylpyrrolidine,125630-26-4
nudifloramide,701-44-0
r-nicotine,25162-00-9
s-nicotine-d4,284685-07-0
s-nornicotine,494-97-3
rs-nornicotine-d4,66148-18-3
o-nicotine,23950-04-1
s-anatabine,581-49-7
3-4-methylaminobutyrylpyridine-123456-13c6-dihydrochloride,1246819-72-6
picolinic-acid,98-98-6
rac-nicotine-d3-n-d-glucuronide,TR-N424587
s-nicotine-d3,54-11-5
rac-cotinine-13cd3,1215842-75-3
nicotinic-acid-d4,66148-15-0
nicotine-n-d-glucuronide,153536-53-9
rs-anatabine,2743-90-0
nicotinamide-d4,347841-88-7
4-methyl-d3-amino-1-3-pyridyl-1-butanone-dihydrochloride,1189727-40-9
nicotinuric-acid-d4,1216737-36-8
2s-n-nitrosonornicotine-d4,1426174-36-8
cotinine-2456-d4-pyridine-d4,350818-68-7
rs-nornicotine-d4-100-ugml-in-methanol,66148-18-3
rs-norcotinine-10-mgml-in-methanol,17708-87-1
rac-2-chloro-nicotine,871894-35-8
rac-trans-3-hydroxy-cotinine-d3-o-d-glucuronide-mixture-of-diastereomers,132929-88-5
3-pyridylacetic-acid-hydrochloride,6419-36-9
6-methyl-nornicotine,90872-72-3
23-bipyridine,581-50-0
4-methylnitrosamino-1-3-pyridyl-d4-1-butanone,764661-24-7
3-1-nitrosopyrrolidin-2-ylpyridine,80508-23-2
n-nitrosoanatabine,887407-16-1
n-nitroso-n-ethylaniline,612-64-6
nicotine-ep-impurity-c-nicotine-usp-related-compound-c,486-56-6
cotinine-n-d-glucoside-chloride,TR-C725165
4namido-ethenonicotinamide-1n6-ethenoadenine-dinucleotide,TR-E936805
2z5s-5-amino-5-3-pyridinyl-2-penten-1-ol,918625-36-2
rac-5-methylnicotine,82111-06-6
rac-nornicotine-bitartrate,5746-86-1
trans-3-hydroxy-cotinine-o-4-deoxy-45-didehydro-beta-d-glucuronide-sodium-salt,1217540-34-5
6-allyloxycarbonyl-345-trihydroxytetrahydro-2h-pyran-2-yl-nicotinate,TR-A429258
n-boc-rs-nornicotine,1076199-53-5
ortho-cotinine-perchlorate,147732-32-9
n-4-methoxybenzylcotinine,887406-85-1
beta-nicotyrine-l-tartrate,4315-37-1
rs-n2-nitroso-anabasine-triacetyl-n-b-d-glucuronide-methyl-ester-bromide,TR-N524263
3-aminocarbonyl-16-dimethyl-pyridinium-iodide,107971-06-2
5-methoxycarbonylnicotinic-acid-potassium-salt,27247-34-3
trans-3-hydroxy-cotinine-o-4-deoxy-45-didehydro-beta-d-glucuronide-methyl-ester,1217540-34-5
5-hydroxymethyl-23-dimethylpyridine,857146-29-3
rac-5-3-pyridyltetrahydro-2-furanone,20971-79-3
35-bis34-dihydro-2h-pyrrol-5-ylpyridine,TR-B426320
